Height(Inches),Weight(Pounds)
65.78,112.99
71.52,136.49
69.40,153.03
68.22,149.69
67.79,144.30
68.70,123.30
69.80,141.49
70.01,136.46
67.90,112.37
66.78,120.67
66.49,127.45
67.62,114.14
68.30,125.61
67.12,122.46
68.28,116.09
71.09,140.00
66.46,129.50
68.65,142.97
71.23,137.90
67.13,124.04
67.83,141.28
68.88,143.54
63.48,97.90
68.42,129.50
67.63,141.85
67.21,129.72
70.84,142.42
67.49,131.55
66.53,108.33
65.44,113.89
69.52,103.30
65.81,120.75
67.82,125.79
70.60,136.22
71.80,140.10
69.21,128.75
66.80,141.80
67.66,121.23
67.81,131.35
64.05,106.71
68.57,124.36
65.18,124.86
69.66,139.67
67.97,137.37
65.98,106.45
68.67,128.76
66.88,145.68
67.70,144.77
69.82,143.62
69.09,134.93
